id,sem1,sem2,sem3,sem4,sem5,sem6
A01,3.76,3.26,3.67,3.59,3.83,3.74
A02,3.57,2.87,3.71,3.09,3.09,3.39
A03,3.52,2.74,3.14,3.48,3.06,3.23
A04,3.33,3.22,3.29,3.22,3.43,3.50
A05,3.38,2.78,3.90,3.87,3.88,3.87
A06,3.48,3.52,3.86,3.33,3.71,3.59
A07,3.05,2.87,3.43,3.71,3.33,3.15
A08,3.19,3.17,3.19,3.55,3.46,3.15
A09,3.19,3.26,4.00,3.50,3.88,3.73
A10,3.43,3.54,4.00,3.50,3.81,3.87
A11,3.67,3.29,4.00,3.75,4.00,3.87
A12,3.52,3.09,4.00,3.29,3.38,3.64
A13,3.69,3.29,3.15,3.17,3.50,3.22
A14,3.24,2.74,3.52,3.62,3.44,3.64
A15,3.29,3.09,3.33,3.61,3.24,3.27
A16,3.24,2.70,3.38,3.62,3.57,3.73
A17,2.95,2.52,3.57,3.13,3.29,3.18
A18,3.24,3.13,3.67,3.25,3.33,3.45
A19,3.05,2.52,3.19,3.50,3.21,2.61
A20,3.48,2.57,3.43,2.78,3.38,3.55
A21,2.62,2.19,3.29,3.13,3.18,2.95
A22,3.00,2.87,2.90,3.45,3.58,2.95
A23,3.52,2.75,3.62,3.30,3.19,3.32
A24,2.90,2.57,3.43,2.88,3.33,3.42
A25,3.05,2.83,3.52,3.04,3.62,3.18
A26,3.38,3.38,3.95,3.35,3.71,3.86
A27,2.95,3.00,3.48,3.55,3.32,3.55
A28,3.57,3.86,3.52,3.35,3.43,3.87
A29,3.57,4.00,3.67,3.74,3.70,4.00
A30,3.76,4.00,3.52,3.55,3.57,3.82
A31,3.38,3.33,3.24,3.35,3.39,3.65
A32,2.57,3.29,2.95,3.40,3.13,3.61
A33,3.29,3.19,3.14,3.60,3.22,3.62
A34,3.43,2.79,3.52,3.65,2.96,3.15
A35,2.62,3.14,2.71,3.25,3.00,3.04
A36,3.14,3.00,3.19,3.12,3.13,3.35
A37,3.33,3.43,3.81,3.53,3.00,3.61
A38,2.67,3.24,3.25,3.05,3.39,3.12
